AUC,Classifier,Distribution,RandomForestClassifier,SVC,GaussianNB,LinearDiscriminantAnalysis,MLPClassifier,DecisionTreeClassifier,LogisticRegression,AdaBoostClassifier
0.6144964510053994,RandomForestClassifier,"[2636, 5241]",0.6144964510053994,0.5,0.5576807256486358,0.6047006286656542,0.5525736947339477,0.5526421906582847,0.5754507706030257,0.594402839450368
0.5747265187104337,GaussianNB,"[3958, 5241]",0.5318540309538571,0.5,0.5747265187104337,0.5280000169118325,0.5058217531418839,0.5282535510666719,0.5172593697127292,0.5324810675752223
0.570174241257362,GaussianNB,"[927, 5241]",0.5091206602278533,0.5,0.570174241257362,0.5359757428456725,0.5,0.5411888315591765,0.5028174041882417,0.5389405220128378
0.5697962046091678,GaussianNB,"[895, 5241]",0.5119817245366859,0.5,0.5697962046091678,0.529595385991569,0.5,0.5534461303237472,0.5006513409961686,0.5257230900592439
0.5846109033051641,GaussianNB,"[1258, 5241]",0.524372799670869,0.5,0.5846109033051641,0.5487110699697317,0.5,0.5440228343051934,0.5037088365805636,0.5403344701787971
0.6074354759955347,RandomForestClassifier,"[2158, 5241]",0.6074354759955347,0.5,0.562342871456667,0.5899025904791879,0.5153834729907206,0.5517160874569431,0.5358837076535767,0.5904801799890985
0.5675282813796082,GaussianNB,"[3797, 5241]",0.540031805993846,0.5,0.5675282813796082,0.5264584337610623,0.5050977640663998,0.5214591430734663,0.5195757503747085,0.5417139731151643
0.5676294806871123,GaussianNB,"[947, 5241]",0.5151601871309415,0.5,0.5676294806871123,0.5391711629169635,0.5,0.5458206237281213,0.502287798748644,0.5327328311592224
0.558573220471932,RandomForestClassifier,"[3408, 5241]",0.558573220471932,0.5,0.5561477758750123,0.5492261386602953,0.5249774960201148,0.5283449691414682,0.5374152542546542,0.5578401228578878
0.6069889732819174,RandomForestClassifier,"[2112, 5241]",0.6069889732819174,0.5,0.5646047555725613,0.5872988510619164,0.5140305702993742,0.5499949422987754,0.5349009805764128,0.5892300845234454
0.6032739158247726,RandomForestClassifier,"[2221, 5241]",0.6032739158247726,0.5,0.561782189489106,0.5974121873781838,0.5116019250325667,0.553918563085403,0.5435003463357042,0.5896463750597627
0.5755651888288682,AdaBoostClassifier,"[1764, 5241]",0.5664060724382972,0.5,0.5594613143666397,0.5703822178301865,0.5018185315345883,0.5336425246805424,0.5047492653945781,0.5755651888288682
0.620268050771782,GaussianNB,"[560, 5241]",0.5060363247863247,0.5,0.620268050771782,0.5254127713082937,0.5,0.5593349643722778,0.500679181929182,0.5184622901973648
0.6089182891383979,RandomForestClassifier,"[2247, 5241]",0.6089182891383979,0.5,0.5584297857939162,0.5941407170727822,0.5188704610606785,0.5497787068004459,0.5378709023464459,0.5917729767213463
0.5577040279624079,GaussianNB,"[3575, 5241]",0.5522733201717245,0.5,0.5577040279624079,0.5318521919510738,0.5100826043315417,0.5279508686897119,0.5210146683803554,0.5481259581953581
0.5753234811165846,AdaBoostClassifier,"[1741, 5241]",0.5691724137931035,0.5,0.5597963875205254,0.5674515599343185,0.5005763546798029,0.5451247947454844,0.5096847290640394,0.5753234811165846
0.5693075045312971,GaussianNB,"[913, 5241]",0.5136676011911352,0.5,0.5693075045312971,0.5340755670695926,0.5,0.5664748282876358,0.5019606157273719,0.5300126514844359
0.5953590253384785,RandomForestClassifier,"[2045, 5241]",0.5953590253384785,0.5,0.5597904565431188,0.5786031765953954,0.5066083776436258,0.5610001338491281,0.5212435396830573,0.5846172493531017
0.568815723261175,GaussianNB,"[3807, 5241]",0.5374017321836427,0.5,0.568815723261175,0.5287286495852078,0.5097160167617069,0.5329886799149647,0.5207010705254593,0.5404963404406525
0.6064015906501398,RandomForestClassifier,"[2763, 5241]",0.6064015906501398,0.5,0.557703665063183,0.5999869621767439,0.5501490894243137,0.543625242222761,0.5693176058569779,0.5844652594765385
0.5985173217385269,RandomForestClassifier,"[2131, 5241]",0.5985173217385269,0.5,0.56332570353757,0.5878610203356349,0.5121158878222507,0.5408779040804312,0.5371524460845871,0.5856578392130587
0.5625272637897728,GaussianNB,"[3737, 5241]",0.5412003406440753,0.5,0.5625272637897728,0.5299143997017711,0.5089471843441331,0.5279914928862532,0.5208550329280729,0.5411391926684145
0.5758583657072613,GaussianNB,"[817, 5241]",0.5090606214516545,0.5,0.5758583657072613,0.5332463502342097,0.5,0.5624806408236793,0.5008879288871311,0.5366358405224587
0.5735053229421889,GaussianNB,"[784, 5241]",0.5081720474842542,0.5,0.5735053229421889,0.5309439092373764,0.5,0.5553043919708588,0.5015865021258784,0.5315599508260263
0.617070757094342,RandomForestClassifier,"[2592, 5241]",0.617070757094342,0.5,0.5573128467232241,0.6070665546844791,0.5485733060497211,0.5489939985223005,0.5653836079779476,0.5927591108959034
0.6130850500201124,RandomForestClassifier,"[2231, 5241]",0.6130850500201124,0.5,0.56159906533528,0.5961942069037438,0.5158793837432774,0.555349158447924,0.5373689439536373,0.5948873476677145
0.5827409260168848,GaussianNB,"[1255, 5241]",0.530707410905824,0.5,0.5827409260168848,0.5458336570068387,0.5,0.5390110653518219,0.5043613522919527,0.5437820422076968
0.5781494514638562,RandomForestClassifier,"[3267, 5241]",0.5781494514638562,0.5,0.5521489791857287,0.5602090163533354,0.5259847025943142,0.530922795745105,0.5375267251820101,0.5698679192626934
0.5815432725503025,RandomForestClassifier,"[1831, 5241]",0.5815432725503025,0.5,0.5578747912412236,0.572185666937696,0.5015720398057787,0.5482014260044632,0.5115075989239648,0.5754563647999086
0.609275917074962,RandomForestClassifier,"[2288, 5241]",0.609275917074962,0.5,0.5585073242921428,0.5957755273621246,0.514517986310366,0.5407582430507513,0.5453798715332983,0.5828934888906881
0.6180009088414071,RandomForestClassifier,"[2461, 5241]",0.6180009088414071,0.5,0.5541808421535703,0.5979029988214426,0.5433129234738011,0.5439630718650121,0.5618758493748104,0.5964554652318433
0.5730510924008744,GaussianNB,"[1319, 5241]",0.533879238718388,0.5,0.5730510924008744,0.5485891198950086,0.5,0.5436393849698102,0.503526639663499,0.5380778300216686
0.6063814486737954,RandomForestClassifier,"[2300, 5241]",0.6063814486737954,0.5,0.5595592769163671,0.5984067997132532,0.5274293033351881,0.54606181603076,0.549835295945939,0.5935000676762968
0.5768422462670009,GaussianNB,"[3921, 5241]",0.5355036480240951,0.5,0.5768422462670009,0.5264829613316527,0.5118429189857762,0.5213505596548126,0.5170751072809415,0.5329220602189523
0.560982508019537,GaussianNB,"[3626, 5241]",0.5442926523777671,0.5,0.560982508019537,0.5311273611188445,0.5126165122119744,0.5243737779289065,0.5254522770540503,0.5467619258675387
0.5757780160163491,RandomForestClassifier,"[3269, 5241]",0.5757780160163491,0.5,0.5565230136881467,0.55958481820836,0.526806183542843,0.5385552186011615,0.5340996576168996,0.5751968688181492
0.5908361471094526,RandomForestClassifier,"[1944, 5241]",0.5908361471094526,0.5,0.5576447333466417,0.5781624027796435,0.5012076159564645,0.5587633277740758,0.5169930110103393,0.5715093161572653
0.5911780619544136,RandomForestClassifier,"[1939, 5241]",0.5911780619544136,0.5,0.5603721333923076,0.5796704757916571,0.5019628024097454,0.544289663248843,0.515276408762792,0.5806401776418009
0.6398952593695707,GaussianNB,"[501, 5241]",0.5038749069247952,0.5,0.6398952593695707,0.533096053611318,0.5,0.5422650781831719,0.49978902953586496,0.520549019607843
0.6009221459226759,RandomForestClassifier,"[2932, 5241]",0.6009221459226759,0.5,0.5556147125579851,0.5925399595281731,0.5543170422804959,0.5359746027402315,0.5596578698119834,0.5803006727654303
0.6022457407536153,GaussianNB,"[685, 5241]",0.5038310678082182,0.5,0.6022457407536153,0.5303858911985848,0.5,0.5232915242315901,0.5040719199138906,0.5200350737901215
0.5589773143287404,GaussianNB,"[3608, 5241]",0.5477968962192215,0.5,0.5589773143287404,0.5346034318873515,0.5137441694671694,0.5317553258943105,0.5226428107208438,0.5432680532303428
0.608336422041018,RandomForestClassifier,"[2841, 5241]",0.608336422041018,0.5,0.559343495181616,0.5960265319990116,0.5489785643686681,0.5347759142574746,0.5693970842599455,0.5895430256980478
0.5912902797931547,RandomForestClassifier,"[1923, 5241]",0.5912902797931547,0.5,0.5583069507123086,0.5782934051571879,0.5085102894849596,0.5399412576617068,0.5153191878938197,0.5819002478123914
0.5725254658735937,GaussianNB,"[3862, 5241]",0.5384162558266451,0.5,0.5725254658735937,0.5303477700388374,0.5073097487683318,0.5315410790457319,0.5197120082481281,0.5457058294390598
0.5644706610367288,GaussianNB,"[3713, 5241]",0.5365711625650356,0.5,0.5644706610367288,0.5298438489980994,0.5051309987268124,0.5242986790128807,0.522215558602807,0.5439161807155939
0.5830723384061334,GaussianNB,"[730, 5241]",0.5036858730978344,0.5,0.5830723384061334,0.5201408878694965,0.5,0.5289701580437487,0.5019439297755369,0.5288922980384104
0.6134933996104922,RandomForestClassifier,"[2695, 5241]",0.6134933996104922,0.5,0.5574523575525433,0.6045771565984094,0.5553363635325889,0.5497476483527611,0.5707798283086909,0.5997188800813121
0.5741140034990767,GaussianNB,"[1286, 5241]",0.5268840724547506,0.5,0.5741140034990767,0.5491281850462977,0.5002613342729622,0.5485836623706896,0.5038094072254038,0.5478858961914553
0.6075017226011056,RandomForestClassifier,"[2287, 5241]",0.6075017226011056,0.5,0.5589114161637573,0.5986118238167738,0.5170720288184129,0.5380895859349136,0.5528409785974577,0.5835365439375233
