model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
BRM,0.986024232,0.789592254,0.973059972,0.980184562,0.992268307,0.990817715,0.946194237,0.96455536,0.954882175,0.984733083,0.977156158,0.989705902,0.974169616,0.977818493,0.97667815,0.909315973,0.737092741,0.990684212,0.991079339,0.980951996,0.971884071,0.908579427,0.928043247,0.895392054,0.969403899,0.987710726,0.982232592,0.79213223,0.56626045,0.788219073,0.750816583,0.737917403,0.965418276,0.948348397,0.98946046,0.797019997,0.970004449,0.98660202,0.924382256,0.935834872,0.91580582,0.790333688,0.974158233,0.961437701,0.940373016,0.92722973,0.958924652,0.958319318,0.906895773,0.846735851,0.823379763,0.944489733,0.952173638,0.809040383,0.983658231,0.953246041,0.940332627,0.960898296,0.936853423,0.943830836,0.97513315,0.941693829,0.939472164,0.816816038,0.940538045,0.899960234,0.902966591,0.905603707,0.970141284,0.965155892,0.904689138,0.592500979,0.635045514,0.855612075,0.915052618,0.937435234,0.941004281,0.935659668,0.936031217,0.908937489,0.969074412,0.950900403,0.910810859,0.969955625,0.515805471,0.977666249,0.978461196,0.938352229,0.965238124,0.933435945,0.913554371
GM,0.986009102,0.756304291,0.982248874,0.99370464,0.895219654,0.99265602,0.964930695,0.968843252,0.966028191,0.984035504,0.973573871,0.932164617,0.983398999,0.982065386,0.977153597,0.917680147,0.684178588,0.990331436,0.922121,0.988446926,0.976093379,0.93770149,0.932615624,0.945691516,0.975286643,0.98721792,0.970796727,0.771197651,0.645981248,0.725609737,0.819540152,0.7313738,0.966969332,0.963688199,0.98994267,0.797834954,0.972812505,0.986505706,0.933166516,0.941062245,0.922057031,0.983055113,0.962849974,0.926140257,0.950132739,0.885945527,0.965065641,0.96474226,0.91585172,0.870043054,0.815296677,0.946373613,0.955102223,0.758098034,0.984576452,0.954534311,0.939494408,0.981661552,0.939170614,0.948667057,0.973956296,0.940794369,0.936779547,0.886613519,0.943778637,0.901105002,0.900643774,0.917871644,0.959057739,0.962584643,0.904724263,0.583937538,0.537318932,0.860170759,0.920397744,0.935889344,0.936384189,0.934661754,0.936741345,0.913711944,0.959145969,0.953116141,0.892467195,0.975869258,0.690313826,0.978369366,0.979659843,0.927169654,0.967363417,0.914171197,0.91562011
IF,0.983746889,0.664481678,0.982245072,0.993703909,0.95593393,0.986394492,0.96500828,0.960811832,0.964710191,0.978626852,0.970532971,0.961923503,0.984580047,0.983491743,0.978294917,0.913884525,0.695692694,0.990455242,0.956362103,0.989451709,0.974851732,0.94199245,0.937173582,0.950679218,0.972329881,0.986551676,0.97739199,0.796911765,0.639356492,0.764567497,0.750262505,0.729642742,0.962582396,0.952355168,0.990009646,0.798621557,0.977371053,0.986385068,0.926592872,0.942786328,0.917890335,0.983527578,0.963923619,0.966432927,0.937829226,0.899976914,0.967507704,0.962216457,0.914127911,0.833640622,0.823780443,0.9450953,0.955087333,0.795162593,0.983618412,0.954639901,0.937672892,0.981556827,0.941801563,0.950802212,0.974674554,0.941583403,0.937857489,0.920742279,0.942745487,0.901849894,0.902463843,0.918515666,0.967902803,0.964229195,0.897873923,0.605341703,0.573451005,0.862358057,0.875293597,0.936878811,0.937358686,0.938189701,0.937175392,0.876259387,0.964432609,0.955776739,0.865338807,0.975896818,0.576475335,0.97842387,0.979859863,0.937715452,0.961684704,0.933817196,0.91530228
OCSVM,0.981032758,0.773791232,0.98094752,0.993574302,0.88821979,0.989515132,0.964885182,0.930891813,0.956662261,0.966154886,0.971700851,0.980941113,0.985057059,0.983612806,0.978693728,0.905737066,0.690352117,0.989440509,0.980431642,0.984741333,0.975069562,0.942604366,0.936493806,0.942944093,0.975859508,0.986606172,0.978427107,0.745917752,0.695817278,0.686744388,0.799839617,0.731574957,0.954342258,0.96193054,0.983188033,0.781063227,0.970711627,0.986174785,0.935646987,0.943694934,0.919853438,0.983370485,0.964503384,0.770580239,0.948996697,0.867585698,0.968633295,0.962323485,0.91071751,0.818168125,0.821771032,0.942472361,0.952478139,0.718808139,0.98424238,0.952891333,0.938016181,0.981505224,0.938111682,0.948816279,0.97522642,0.940946795,0.937785822,0.847816375,0.944171924,0.899094458,0.899864592,0.905215058,0.658236979,0.958185234,0.84916019,0.654301982,0.600018883,0.791796923,0.829004476,0.937301859,0.937457768,0.935197216,0.936837153,0.831438345,0.546870599,0.942527404,0.76899393,0.858992034,0.752208359,0.977418144,0.979450844,0.528411371,0.946394742,0.811923894,0.894079211
EE,0.986628057,0.750285447,0.981602025,0.993687162,0.902259742,0.99282817,0.96490151,0.967848595,0.971864861,0.986725754,0.974775667,0.971029744,0.982076395,0.980014508,0.97455926,0.906480004,0.708036301,0.990167783,0.964439505,0.986746243,0.974789792,0.932045672,0.925579532,0.948041287,0.970598716,0.987274759,0.968815153,0.798869472,0.561613063,0.666024735,0.74888487,0.741717143,0.968116273,0.960177051,0.989634521,0.798534453,0.967144043,0.986719639,0.930447102,0.939210458,0.918865779,0.983336261,0.965846842,0.967681977,0.946237142,0.88517643,0.968800438,0.965802595,0.894070683,0.903219182,0.795240544,0.946706899,0.952404755,0.813484841,0.98445747,0.95627938,0.942179874,0.981756403,0.940034715,0.949902908,0.973832828,0.94073661,0.937969435,0.867571682,0.944391016,0.89848605,0.901907839,0.9250363,0.969448813,0.963485499,0.920219375,0.537382452,0.530249327,0.867704118,0.919984875,0.941253504,0.940139645,0.940084456,0.939959752,0.910145024,0.966213509,0.955312861,0.911129858,0.975733851,0.654182661,0.978468374,0.979450844,0.940120724,0.961254124,0.938407662,0.915477141
AvgKNN,0.81414307,0.901571078,0.90182201,0.968455364,0.812342874,0.847218876,0.846207363,0.962373372,0.960202605,0.958011398,0.955896604,0.653153434,0.97607371,0.936282036,0.937329541,0.882596533,0.665434211,0.790313781,0.961732316,0.967228696,0.920308262,0.852738093,0.798644645,0.909804474,0.946777848,0.561176494,0.974287071,0.677274928,0.686701451,0.731542853,0.805624491,0.546759459,0.705487679,0.953510668,0.982056242,0.944773588,0.963254846,0.593339,0.842046549,0.761771055,0.849262839,0.97888178,0.717312836,0.656886671,0.918348297,0.906494686,0.946445508,0.846383987,0.885688273,0.843254072,0.670816326,0.782858712,0.760369923,0.582969123,0.912463636,0.818803232,0.698982417,0.646148537,0.732391414,0.784040412,0.931795635,0.604117034,0.735850317,0.508094443,0.70080551,0.707268826,0.673826301,0.739070714,0.896921304,0.703801481,0.929822506,0.620414724,0.772516082,0.603340093,0.926199967,0.784569841,0.656866279,0.743754433,0.700115729,0.920064443,0.778768113,0.878033789,0.898173867,0.928434895,0.737786475,0.767857143,0.679365079,0.635865457,0.625,0.551828289,0.801504445
LargestKNN,0.820634758,0.905648492,0.771800528,0.986673947,0.802977839,0.849805525,0.835806234,0.962373372,0.960202605,0.960173121,0.962598078,0.69309053,0.973332676,0.925890381,0.943778331,0.888413591,0.67698924,0.772161988,0.977062648,0.981299726,0.92447145,0.811578932,0.787835928,0.89651297,0.941964588,0.573328765,0.976976987,0.666172068,0.679928411,0.730897745,0.805973559,0.546832211,0.707112334,0.955404435,0.986202338,0.947226657,0.970611764,0.575978613,0.822324469,0.758710566,0.83985356,0.961232219,0.63853713,0.6325014,0.917596247,0.90508286,0.953266663,0.866296628,0.88748258,0.838493288,0.676786857,0.787406972,0.762373613,0.580320914,0.866218628,0.823656077,0.735642658,0.769040836,0.721963129,0.763782354,0.986111111,0.551545587,0.747587305,0.506982053,0.696067674,0.686065109,0.644548337,0.782372084,0.90093484,0.50807815,0.931897592,0.64192344,0.770758776,0.630675964,0.924209536,0.79815378,0.649370324,0.752216509,0.737321894,0.916582076,0.794265555,0.871355932,0.900375997,0.931527133,0.75168791,0.767857143,0.679365079,0.581428571,0.744047619,0.586772487,0.800181984
MedKNN,0.813673333,0.89686255,0.9302483,0.968590706,0.834762207,0.85090317,0.853133872,0.962373372,0.960202605,0.956911774,0.947935173,0.662058982,0.977027542,0.93757131,0.934738994,0.880953878,0.664859311,0.834513376,0.960710004,0.967300778,0.928583137,0.86635446,0.80336521,0.912939137,0.949762224,0.629354994,0.973654163,0.683102755,0.701791211,0.73079545,0.806530885,0.551396884,0.712068409,0.953098544,0.980203002,0.929821046,0.959191548,0.618281081,0.855919701,0.768119851,0.854376739,0.982281326,0.752417259,0.65997999,0.919131316,0.914617333,0.939468067,0.833886983,0.884182053,0.843599231,0.670375756,0.783071211,0.764576178,0.590315751,0.921613421,0.814594429,0.690143502,0.791503268,0.728641749,0.796240698,0.880952381,0.633212085,0.733024957,0.512379609,0.713878374,0.715253957,0.688371793,0.725052076,0.887009682,0.799661765,0.929489035,0.606435312,0.764908847,0.553177263,0.927224172,0.76829868,0.662595971,0.741257519,0.662704567,0.921845323,0.778688672,0.882408302,0.897675232,0.937412819,0.725197833,0.785714286,0.822222222,0.580453234,0.695945946,0.621021136,0.80886838
PCA,0.902131177,0.908096466,0.99895061,1,0.949713943,0.952144005,0.936581657,0.931182887,0.959844384,0.984495179,0.931950979,0.95071078,0.949882636,0.876185859,0.931245983,0.885956563,0.726200888,0.754905672,0.987379734,0.971861823,0.832500065,0.693321359,0.678160391,0.556744253,0.938196579,0.627188589,0.967638887,0.711597004,0.727462412,0.710650705,0.76271817,0.529912639,0.883741876,0.943705705,0.953794229,0.957731284,0.950397743,0.585622626,0.842066129,0.711747718,0.819849311,1,0.70111613,0.700987081,0.875146564,0.713446286,0.618016454,0.761552071,0.831391639,0.852889199,0.757875837,0.582002765,0.562998253,0.682989541,0.695533116,0.768357263,0.716563763,0.814289986,0.591919905,0.573467318,0.55913107,0.604691244,0.685774842,0.533215866,0.634444774,0.539517731,0.501182391,0.584381581,0.95298418,0.618628832,0.938338806,0.672852499,0.753258134,0.645777967,0.932469088,0.773331351,0.702052939,0.642182543,0.698586918,0.928095563,0.902447342,0.553865868,0.900540124,0.935454545,0.675785473,1,0.616666667,0.726634131,0.894426407,0.801809095,0.784258223
COF,0.926182181,0.880993109,0.957503251,0.98797784,0.948734054,0.897485542,0.889331513,0.9505164,0.961201485,0.955921894,0.952609209,0.626287424,0.976971351,0.960108982,0.956278435,0.891929829,0.671545524,0.883558189,0.847252458,0.983262272,0.929120328,0.88906369,0.872642373,0.871110004,0.896778881,0.672228608,0.967817127,0.690267174,0.720783885,0.746739071,0.795415927,0.657958583,0.718856881,0.95496755,0.973989169,0.717020265,0.930212929,0.809294194,0.87829465,0.836475489,0.91143909,0.95899815,0.931259819,0.945685682,0.898084527,0.888758578,0.945971664,0.941191269,0.890659529,0.86261823,0.678379543,0.883909291,0.862829869,0.61085099,0.931996469,0.901400113,0.851301618,0.928665751,0.84872051,0.876123091,0.627066622,0.721588738,0.8306514,0.609835938,0.823498737,0.72365033,0.789466923,0.795321452,0.8054848,0.813296642,0.927088354,0.619460708,0.724792041,0.532321798,0.916972777,0.892994636,0.784438977,0.87900986,0.803220957,0.922813726,0.691862677,0.900490314,0.912903153,0.912486065,0.517847939,0.532496782,0.679365079,0.575852805,0.756547619,0.63719382,0.831595035
LODA,0.889436628,0.901485019,0.946682722,0.982261767,0.987567515,0.966709079,0.681558288,0.971503599,0.950874587,0.980829089,0.970668891,0.97779259,0.943915677,0.83142732,0.958871905,0.814366894,0.728095997,0.722107308,0.990625323,0.973210167,0.886074612,0.767736479,0.579676407,0.538721188,0.961371055,0.626342909,0.977424145,0.686370514,0.734119456,0.703477987,0.802112869,0.582520343,0.903313009,0.946905096,0.981419527,0.974673781,0.963489825,0.852032225,0.857686744,0.801911896,0.81456777,0.850749786,0.739042105,0.508782799,0.883545654,0.743792073,0.957710231,0.852889971,0.885010432,0.88386821,0.659869289,0.834083303,0.604919368,0.596517305,0.657051282,0.587621421,0.791760938,0.946491292,0.755855771,0.810191257,0.959388063,0.719493578,0.765179778,0.52380625,0.828112669,0.569449251,0.567197571,0.588914579,0.959305109,0.522161582,0.949584623,0.651624143,0.762123371,0.695944136,0.946037202,0.860208208,0.711233573,0.870805873,0.737244109,0.93550649,0.917610417,0.729705196,0.931791856,0.954725673,0.540387683,0.907401979,0.935371081,0.873496081,0.705879121,0.685268653,0.81074054
LOF,0.912427199,0.889403639,0.685909099,0.571511673,0.874751695,0.915633866,0.866405779,0.954780527,0.958278572,0.957933098,0.961191886,0.619616971,0.97725187,0.955399198,0.948000362,0.889641141,0.678889874,0.800650954,0.949588462,0.962543634,0.9265987,0.896908812,0.862947525,0.715244349,0.913826176,0.591831788,0.973934155,0.705663496,0.696754352,0.766823526,0.771219118,0.645274028,0.724405152,0.95053674,0.973542273,0.730956447,0.962089723,0.774198527,0.850496858,0.839777726,0.898934864,0.9353223,0.950919625,0.923226124,0.887922622,0.699653306,0.942591001,0.939003353,0.880116411,0.876145566,0.671370839,0.848126995,0.84399392,0.574940591,0.853546303,0.917506476,0.818032331,0.696177627,0.842404124,0.895035636,0.771378968,0.702616205,0.832536087,0.589019986,0.799105974,0.688811821,0.755099292,0.809288817,0.869554478,0.82131816,0.92010354,0.606872282,0.740867468,0.538308536,0.910379514,0.88097828,0.76464808,0.877464728,0.820184836,0.90994668,0.677904597,0.841745307,0.893526989,0.904726534,0.526878493,0.830357143,0.679365079,0.565698587,0.677300151,0.689973425,0.815486322
HBOS,0.897194328,0.79259357,0.946368462,0.978836667,0.983464404,0.960014434,0.961829075,0.929394791,0.955475278,0.98331027,0.932187706,0.983055262,0.947161645,0.792571139,0.931727515,0.892164675,0.714427056,0.893371673,0.986756024,0.968145807,0.813315175,0.691821547,0.736819575,0.56733881,0.946404853,0.894175848,0.971335237,0.707928359,0.699764079,0.712194878,0.806807095,0.523286014,0.906297393,0.942577016,0.966304557,0.947772546,0.931419497,0.586365464,0.838517929,0.716192838,0.878545187,0.598736197,0.869370685,0.89231715,0.885690454,0.658892764,0.841945811,0.783101157,0.852917147,0.8510129,0.718502478,0.521731811,0.516921011,0.641256118,0.63365622,0.625694657,0.673015251,0.973745371,0.512197437,0.518049872,0.901033018,0.627525512,0.686227986,0.515413466,0.675950802,0.617349319,0.560757147,0.622476473,0.945863831,0.682380952,0.94138933,0.653202798,0.759103317,0.646506192,0.933058411,0.713855424,0.662537297,0.515826248,0.617284275,0.922922171,0.898399841,0.855214741,0.892478819,0.950683719,0.748593141,0.892857143,0.733333333,0.820526011,0.952024459,0.745993094,0.79416396
MCD,0.815292529,0.889089229,0.794303685,0.516676533,0.707696978,0.880437989,0.867183472,0.952706495,0.95130489,0.956537311,0.926484502,0.967734615,0.966738588,0.94355938,0.956945941,0.883669315,0.626392501,0.891775411,0.98880822,0.961507646,0.928982174,0.797380006,0.78277419,0.866938188,0.959726734,0.570521857,0.976661461,0.718611728,0.71140494,0.707441161,0.79141768,0.513586966,0.680378364,0.951734746,0.950835411,0.97429795,0.967465813,0.615547737,0.84723929,0.789492195,0.76038613,0.545640524,0.612218486,0.597294417,0.911838549,0.899066289,0.970561594,0.718427548,0.903305621,0.721262491,0.696435083,0.798119101,0.830462643,0.540373678,0.661006902,0.799835412,0.61274444,0.864583333,0.75110284,0.732983625,0.818255387,0.649855296,0.775350469,0.515626034,0.733670736,0.641951628,0.584338048,0.714520183,0.9215381,0.638330834,0.930614026,0.713100053,0.7774341,0.891227976,0.923994189,0.695313856,0.706847191,0.654973107,0.68203893,0.919710603,0.872314283,0.572696571,0.899034955,0.931378585,0.706465619,0.521428571,0.679365079,0.788243661,0.841508838,0.618867682,0.786610301
AvgBagging,0.913521213,0.893122725,0.874112601,0.980664187,0.889761227,0.904002074,0.941664962,0.971263775,0.949306839,0.957644056,0.958427051,0.677416904,0.975407701,0.951452069,0.939682045,0.894715224,0.68318968,0.767268319,0.964836074,0.971044762,0.92416709,0.879441541,0.85623608,0.630566342,0.936722506,0.528129199,0.968307343,0.711811448,0.69279733,0.758031613,0.765463559,0.641240673,0.751901591,0.94674124,0.940703154,0.747681737,0.952821095,0.774302428,0.869336974,0.833172304,0.905598302,0.957652176,0.954909734,0.890029103,0.903017252,0.765130308,0.941410632,0.933754823,0.88178386,0.873560171,0.772156234,0.691601341,0.72213981,0.637628734,0.600139212,0.895139242,0.784878231,0.738113175,0.766447696,0.86150373,0.555045996,0.713954083,0.821003923,0.586233309,0.840046439,0.741976613,0.789601844,0.81254267,0.922149055,0.81353159,0.923880332,0.590965202,0.739543635,0.55019257,0.911802887,0.882634525,0.738151726,0.828882366,0.783805642,0.91349938,0.768858901,0.872263992,0.900278736,0.909526539,0.510783031,0.8125,0.679365079,0.602641056,0.882133838,0.702619048,0.81938985
MaxBagging,0.918092536,0.886727534,0.846703963,0.975752217,0.975223445,0.929594529,0.837147598,0.973197368,0.958884145,0.964548273,0.932081705,0.599784011,0.973373046,0.95694962,0.948893464,0.897409095,0.707054259,0.81495331,0.905455769,0.928001545,0.907793175,0.896385683,0.878447154,0.741399451,0.9345599,0.515060584,0.970710764,0.730603112,0.694696389,0.764863977,0.753484031,0.627221896,0.699730799,0.950058373,0.945868599,0.739091879,0.958305838,0.795454195,0.870112742,0.885103567,0.896880805,0.95456046,0.963907478,0.939406114,0.908057581,0.836279906,0.950010613,0.923002928,0.878489849,0.866415086,0.674813671,0.744558039,0.73402184,0.681049278,0.56741453,0.9058638,0.77971654,0.770671253,0.823884508,0.835503113,0.555045996,0.798339468,0.854187844,0.579550253,0.85776705,0.737603452,0.76340041,0.821650022,0.909292327,0.806457087,0.928815038,0.583943511,0.759442118,0.538609471,0.913559168,0.867171453,0.716640613,0.864742584,0.775137581,0.911347421,0.801397463,0.864226801,0.882020652,0.911872587,0.565733881,0.740909091,0.679365079,0.533333333,0.768162393,0.752429042,0.820727112
